PLC number;1;;;;;;;;;;;;;
Modbus Adr;1;;;;;;;;;;;;;
DB Block;10;;;;;;;;;;;;;
Offset DB Channel;1024;;;;;;;;;;;;;
Address;Name;Channel type;No of bits;Type;Initial value;Value;Comment;Channel name;Channel reference;;;Channel type: ;DI;digital input
+14.3;MixareIN_4;DI;1;BOOL;FALSE;;;;;;;;;
+14.4;MixareIN_5;DI;1;BOOL;FALSE;;;;;;;;;
+14.5;MixareIN_6;DI;1;BOOL;FALSE;;;;;;;;;
+14.6;MixareIN_7;DI;1;BOOL;FALSE;;;;;;;;;
+14.7;MixareIN_8;DI;1;BOOL;FALSE;;;;;;;;;
+15.0;MixareIN_9;DI;1;BOOL;FALSE;;;;;;;;;
+15.1;MixareIN_10;DI;1;BOOL;FALSE;;;;;;;;;
+15.2;MixareIN_11;DI;1;BOOL;FALSE;;;;;;;;;
+15.3;MixareIN_12;DI;1;BOOL;FALSE;;;;;;;;;
+15.4;MixareIN_13;DI;1;BOOL;FALSE;;;;;;;;;
+15.5;MixareIN_14;DI;1;BOOL;FALSE;;;;;;;;;
+15.6;MixareIN_15;DI;1;BOOL;FALSE;;;;;;;;;
+15.7;MixareIN_16;DI;1;BOOL;FALSE;;;;;;;;;
+16.0;StatusOUT_1;DO;1;BOOL;FALSE;;;S0 PL1 DO1;S0PL1DO1;;;;;
+16.1;StatusOUT_2;DO;1;BOOL;FALSE;;;S0 PL1 DO2;S0PL1DO2;;;;;
+16.2;StatusOUT_3;DO;1;BOOL;FALSE;;;;;;;;;
+16.3;StatusOUT_4;DO;1;BOOL;FALSE;;;;;;;;;
+16.4;StatusOUT_5;DO;1;BOOL;FALSE;;;;;;;;;
+16.5;StatusOUT_6;DO;1;BOOL;FALSE;;;;;;;;;
+16.6;StatusOUT_7;DO;1;BOOL;FALSE;;;;;;;;;
+16.7;StatusOUT_8;DO;1;BOOL;FALSE;;;;;;;;;
+17.0;StatusOUT_9;DO;1;BOOL;FALSE;;;;;;;;;
+17.1;StatusOUT_10;DO;1;BOOL;FALSE;;;;;;;;;
+17.2;StatusOUT_11;DO;1;BOOL;FALSE;;;;;;;;;
+17.3;StatusOUT_12;DO;1;BOOL;FALSE;;;;;;;;;
+17.4;StatusOUT_13;DO;1;BOOL;FALSE;;;;;;;;;
+17.5;StatusOUT_14;DO;1;BOOL;FALSE;;;;;;;;;
+17.6;StatusOUT_15;DO;1;BOOL;FALSE;;;;;;;;;
+17.7;StatusOUT_16;DO;1;BOOL;FALSE;;;;;;;;;
+18.0;VerifAmbalajOUT_1;DO;1;BOOL;FALSE;;Tip ambalaj 1;;;;;;;
+18.1;VerifAmbalajOUT_2;DO;1;BOOL;FALSE;;Tip ambalaj 2;;;;;;;
+18.2;VerifAmbalajOUT_3;DO;1;BOOL;FALSE;;Tip ambalaj 3;;;;;;;
+18.3;VerifAmbalajOUT_4;DO;1;BOOL;FALSE;;Tip ambalaj 4;;;;;;;
+18.4;VerifAmbalajOUT_5;DO;1;BOOL;FALSE;;;;;;;;;
+18.5;VerifAmbalajOUT_6;DO;1;BOOL;FALSE;;;;;;;;;
+18.6;VerifAmbalajOUT_7;DO;1;BOOL;FALSE;;;;;;;;;
+18.7;VerifAmbalajOUT_8;DO;1;BOOL;FALSE;;;;;;;;;
+19.0;VerifAmbalajOUT_9;DO;1;BOOL;FALSE;;;;;;;;;
+19.1;VerifAmbalajOUT_10;DO;1;BOOL;FALSE;;Eroare tip ambalaj;;;;;;;
+19.2;VerifAmbalajOUT_11;DO;1;BOOL;FALSE;;Eroare etanseitate ambalaj;;;;;;;
+19.3;VerifAmbalajOUT_12;DO;1;BOOL;FALSE;;;;;;;;;
+19.4;VerifAmbalajOUT_13;DO;1;BOOL;FALSE;;;;;;;;;
+19.5;VerifAmbalajOUT_14;DO;1;BOOL;FALSE;;;;;;;;;
+19.6;VerifAmbalajOUT_15;DO;1;BOOL;FALSE;;;;;;;;;
